,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,,,,,,,,,,,,Vcr using Formula,,,,,,,,,WITH TENSION  ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,Vcr using Formula,,,,Vcr using FEA,,,,Vcr using Formula,,,,,,,,,,,,,,,,,,,,,,
S.NO,SECTON,WEB OPENNG,Depth of Web opening(dwh/d1),dwh/2,d1,tw,tw(mm),rcl(mm),lip length (mm),"d1,d2(mm)",flange width(mm),"b1,b2(mm)",ri(mm),ro(mm),total depth D (mm),total length(mm)with aspect ratio-1,fyw,E,m,a/d,Vu FEM,Linear Buckling load(kN),dwh,dwh/d1,d1/tw,Aw,Vcr FEA,Vy,λv,Vv,c,c/tw,qs,Vnl(AS)FEA,Vnl FEA/Vnl(AS),Kss,Ksf,Kv,Vcr,vy,λv,Vv,c,c/tw,qsAS/NS,VnlWITHOUT TENSION FIELD,VnlFEA/V AS/NS,Vv,Vnl AS/NS,VnlF/Vnl AS/NS,Vv,VnlAS/NS EITH TENSION FEIEL,VnlF/Vnl AS/NS,Vcr(FEA),Vy,vv,qseq,Vcr(eq),Vy,Vv,qs,VNL,qsFEA=Vfea/Vv,VcrFEA/Vcr eq,qsfea/qs eq,qs pro,qsfea/qs pro,vnl pro,vnlFEA/vnl Pro,DSM pro,qs pro,Vnl Pro,vnlFEA/vnl Pro,qs fea/qs pro,Design Shear Resistance (VRd),Vcr,VU(FEA),Vnl DSM,VnlFEA/V AS/NS,Vnl with tension field,VnlFEA/V AS/NS,VN PRO
,,0.6,82.8,41.4,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,45.2838,489.89,82.8,0.6,46.00,414,244.95,86.72,0.60,86.72,39.74,13.25,0.25,21.27,2.13,9.34,12.6,10.09,374.27,86.72,0.48,86.72,39.74,13.25,0.25,21.27,2.13,86.72,21.27,2.13,113.74,27.90,1.62,244.95,86.72,101.52,0.43,374.27,86.72,113.74,0.43,48.39,0.40,0.65,0.94,0.46,0.87,52.09,0.87,86.72,0.46,39.72,1.14,0.87,75.8608774,374.2732189,45.2838,21.27379303,2.128618998,27.9034225,1.62287619,39.71688347
,,0.8,110.4,55.2,138,3,3,4.5,18,12,60,48,3,6,150,461,349.1066271,210000,0.3,1,25.7821,369.71,110.4,0.8,46.00,414,184.855,86.72,0.68,86.72,29.99,10.00,0.19,16.05,1.61,9.34,12.6,10.09,374.27,86.72,0.48,86.72,29.99,10.00,0.19,16.05,1.61,86.72,16.05,1.61,113.74,21.06,1.22,184.86,86.72,93.55,0.16,374.27,86.72,113.74,0.16,18.45,0.23,0.49,1.40,0.23,0.99,26.05,0.99,86.72,0.23,19.86,1.30,0.99,75.8608774,374.2732189,25.7821,16.05323032,1.60603813,21.05595686,1.224456346,19.85844173
5,200x65x20x1.5,0,0,0,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,43.3239,147.39,0,0,129.33,291,73.6965,60.95,0.91,54.62,97.00,64.67,1,54.62,0.79,9.34,12.6,10.09,33.28,60.95,1.35,33.28,97.00,64.67,1,33.28,1.30,55.12,55.12,0.79,42.21,42.21,1.03,73.70,60.95,55.12,Not Applicable,33.28,60.95,42.21,Not Applicable,42.21,1.03,2.21,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,61.55,Not Applicable,#VALUE!,#VALUE!,#VALUE!,53.32250078,33.27944859,43.3239,33.27944859,1.30182145,42.21468316,1.026275617,61.55103825
,,0.2,38.8,19.4,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,40.3678,125.42,38.8,0.2,129.33,291,62.7075,60.95,0.99,50.39,83.29,55.53,1,50.39,0.80,9.34,12.6,10.09,33.28,60.95,1.35,33.28,83.29,55.53,1,33.28,1.21,52.30,52.30,0.77,42.21,42.21,0.96,62.71,60.95,52.30,0.88,33.28,60.95,42.21,0.88,37.15,0.96,1.88,1.09,0.90,1.06,37.99,1.06,60.39,0.90,54.35,0.74,1.06,53.32250078,33.27944859,40.3678,33.27944859,1.212994858,42.21468316,0.956250219,54.35389442
,,0.4,77.6,38.8,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,28.1667,60.15,77.6,0.4,129.33,291,30.076,60.95,1.42,30.08,69.58,46.39,0.86,25.84,1.09,9.34,12.6,10.09,33.28,60.95,1.35,33.28,69.58,46.39,0.86,28.59,0.99,40.75,35.01,0.80,42.21,36.26,0.78,30.08,60.95,40.75,0.69,33.28,60.95,42.21,0.69,29.07,0.67,0.90,0.97,0.69,0.97,29.00,0.97,55.39,0.69,38.05,0.74,0.97,53.32250078,33.27944859,28.1667,28.58725394,0.98528876,36.26267618,0.776740797,38.0536475
,,0.6,116.4,58.2,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,18.0585,42.66,116.4,0.6,129.33,291,21.33,60.95,1.69,21.33,55.87,37.25,0.69,14.71,1.23,9.34,12.6,10.09,33.28,60.95,1.35,33.28,55.87,37.25,0.69,22.95,0.79,36.10,24.90,0.73,42.21,29.12,0.62,21.33,60.95,36.10,0.43,33.28,60.95,42.21,0.43,17.96,0.43,0.64,1.01,0.46,0.93,19.33,0.93,53.19,0.46,24.36,0.74,0.93,53.32250078,33.27944859,18.0585,22.9542975,0.786715429,29.11732127,0.620197848,24.363162
,,0.8,155.2,77.6,194,1.5,1.5,2.25,20,17,65,59,1.5,3,200,573,349.1066271,210000,0.3,1,9.3011,31.84,155.2,0.8,129.33,291,15.92,60.95,1.96,15.92,42.16,28.11,0.52,8.29,1.12,9.34,12.6,10.09,33.28,60.95,1.35,33.28,42.16,28.11,0.52,17.32,0.54,32.50,16.92,0.55,42.21,21.97,0.42,15.92,60.95,32.50,0.16,33.28,60.95,42.21,0.16,6.85,0.22,0.48,1.36,0.23,0.96,9.67,0.96,51.39,0.23,11.77,0.79,0.96,53.32250078,33.27944859,9.3011,17.32134106,0.536973435,21.97196636,0.423316687,11.76897399
6,200x65x20x2,0,0,0,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,66.2976,355.53,0,0,96.00,384,177.766,80.43,0.67,80.43,96.00,48.00,0.89,71.50,0.93,9.34,12.6,10.09,79.71,80.43,1.00,65.26,96.00,48.00,0.89,58.01,1.14,87.71,77.96,0.85,68.16,60.59,1.09,177.77,80.43,87.71,Not Applicable,79.71,80.43,68.16,Not Applicable,68.16,0.97,2.23,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,87.19,Not Applicable,#VALUE!,#VALUE!,#VALUE!,70.36371237,79.70633365,66.2976,58.00584886,1.142946811,60.59069663,1.094187783,87.18978711
,,0.2,38.4,19.2,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,60.2725,300.05,38.4,0.2,96.00,384,150.0265,80.43,0.73,80.43,82.43,41.22,0.76,61.39,0.98,9.34,12.6,10.09,79.71,80.43,1.00,65.26,82.43,41.22,0.76,49.81,1.21,83.35,63.61,0.95,68.16,52.03,1.16,150.03,80.43,83.35,0.88,79.71,80.43,68.16,0.88,59.98,0.88,1.88,1.00,0.90,0.98,61.35,0.98,85.47,0.90,76.92,0.78,0.98,70.36371237,79.70633365,60.2725,49.80714231,1.21011761,52.02664057,1.158493021,76.9219089
,,0.4,76.8,38.4,192,2,2,3,20,16,65,57,2,4,200,569,349.1066271,210000,0.3,1,44.8114,144.58,76.8,0.4,96.00,384,72.2875,80.43,1.05,62.15,68.86,34.43,0.64,39.62,1.13,9.34,12.6,10.09,79.71,80.43,1.00,65.26,68.86,34.43,0.64,41.61,1.08,65.99,42.08,1.06,68.16,43.46,1.03,72.29,80.43,65.99,0.69,79.71,80.43,68.16,0.69,46.94,0.66,0.91,0.95,0.69,0.96,46.83,0.96,78.44,0.69,53.89,0.83,0.96,70.36371237,79.70633365,44.8114,41.60843575,1.076978723,43.46258451,1.031033946,53.88639329
